cwe_value,occurences,presence_arbre
CWE-119,5328,no
CWE-787,5778,no
CWE-190,1537,yes
CWE-476,1692,yes
CWE-835,392,no
CWE-59,391,yes
CWE-22,2510,yes
CWE-732,857,yes
CWE-20,5190,yes
CWE-404,137,yes
CWE-120,1079,yes
CWE-310,284,no
CWE-200,4372,yes
CWE-434,1138,no
CWE-384,194,no
CWE-863,1193,no
CWE-79,12326,yes
CWE-416,2375,yes
CWE-193,31,yes
CWE-704,172,yes
CWE-284,830,yes
CWE-611,726,yes
CWE-1188,98,no
CWE-401,320,yes
CWE-601,591,yes
CWE-287,1734,yes
CWE-312,294,yes
CWE-311,176,yes
CWE-649,1,yes
CWE-352,2438,no
CWE-134,96,yes
CWE-494,58,yes
CWE-89,3475,yes
CWE-330,158,yes
CWE-74,583,yes
CWE-326,254,yes
CWE-319,350,yes
CWE-522,633,yes
CWE-295,714,no
CWE-400,1054,yes
CWE-665,190,yes
CWE-772,354,no
CWE-269,1529,yes
CWE-276,615,yes
CWE-264,1064,no
CWE-399,257,no
CWE-77,1002,yes
CWE-94,722,yes
CWE-362,694,yes
CWE-682,57,yes
CWE-191,115,yes
CWE-415,312,yes
CWE-306,612,yes
CWE-78,1865,yes
CWE-755,278,yes
CWE-327,290,yes
CWE-125,4030,no
CWE-273,15,yes
CWE-693,44,yes
CWE-347,255,yes
CWE-617,263,yes
CWE-90,11,yes
CWE-377,11,yes
CWE-426,361,no
CWE-367,100,yes
CWE-338,52,yes
CWE-521,93,yes
CWE-189,74,no
CWE-862,839,no
CWE-369,226,yes
CWE-428,115,yes
CWE-532,393,yes
CWE-354,58,yes
CWE-335,17,yes
CWE-798,781,no
CWE-669,29,yes
CWE-776,31,no
CWE-843,205,no
CWE-829,60,no
CWE-19,138,yes
CWE-640,105,yes
CWE-275,60,no
CWE-565,22,yes
CWE-668,570,yes
CWE-427,389,yes
CWE-307,163,yes
CWE-294,66,yes
CWE-203,240,yes
CWE-255,146,no
CWE-129,160,no
CWE-116,80,yes
CWE-345,187,yes
CWE-320,35,no
CWE-331,38,yes
CWE-1021,153,no
CWE-502,722,yes
CWE-763,36,yes
CWE-91,56,yes
CWE-918,579,no
CWE-290,107,yes
CWE-209,186,yes
CWE-285,105,yes
CWE-916,46,no
CWE-346,138,yes
CWE-93,35,yes
CWE-613,173,yes
CWE-670,30,yes
CWE-297,8,yes
CWE-358,24,yes
CWE-639,195,yes
CWE-118,13,yes
CWE-332,7,yes
CWE-388,31,no
CWE-913,21,no
CWE-552,131,yes
CWE-113,19,yes
CWE-441,5,yes
CWE-681,36,yes
CWE-17,20,yes
CWE-361,7,no
CWE-444,130,yes
CWE-184,11,yes
CWE-534,2,no
CWE-18,3,yes
CWE-123,14,yes
CWE-16,7,yes
CWE-908,188,no
CWE-425,73,yes
CWE-88,115,yes
CWE-252,41,yes
CWE-1,2,yes
CWE-407,4,yes
CWE-538,10,yes
CWE-824,100,no
CWE-21,2,yes
CWE-770,338,yes
CWE-172,9,yes
CWE-834,56,no
CWE-754,169,yes
CWE-662,19,yes
CWE-99,5,yes
CWE-664,2,yes
CWE-775,1,no
CWE-122,83,yes
CWE-417,14,no
CWE-131,30,yes
CWE-610,88,yes
CWE-459,53,yes
CWE-922,85,no
CWE-672,16,yes
CWE-674,135,yes
CWE-909,50,no
CWE-642,2,yes
CWE-769,2,no
CWE-920,3,no
CWE-895,1,yes
CWE-300,3,yes
CWE-943,3,no
CWE-121,91,yes
CWE-749,9,yes
CWE-281,120,yes
CWE-1187,3,no
CWE-470,8,yes
CWE-178,10,yes
CWE-667,49,yes
CWE-706,28,yes
CWE-774,1,yes
CWE-1236,116,no
CWE-212,26,yes
CWE-288,11,yes
CWE-266,12,yes
CWE-915,95,no
CWE-185,11,yes
CWE-917,136,no
CWE-924,9,no
CWE-405,3,yes
CWE-436,23,yes
CWE-471,5,yes
CWE-707,3,yes
CWE-838,4,no
CWE-256,3,yes
CWE-321,12,yes
CWE-1321,56,no
CWE-317,1,yes
CWE-573,1,yes
CWE-305,5,yes
CWE-406,4,yes
CWE-61,11,yes
CWE-23,12,yes
CWE-313,1,yes
CWE-778,1,no
CWE-371,1,no
CWE-697,31,yes
CWE-73,8,yes
CWE-325,1,yes
CWE-268,1,yes
CWE-440,1,yes
CWE-280,1,yes
CWE-80,9,yes
CWE-250,7,yes
CWE-349,2,yes
CWE-805,3,no
CWE-684,1,yes
CWE-114,1,yes
CWE-350,2,yes
CWE-912,4,no
CWE-364,1,yes
CWE-117,2,yes
CWE-385,2,yes
CWE-201,6,yes
CWE-506,1,yes
CWE-303,2,yes
CWE-248,3,yes
CWE-757,2,yes
CWE-1286,1,no
CWE-130,2,yes
CWE-342,2,yes
CWE-299,1,yes
CWE-270,1,yes
CWE-822,10,no
CWE-323,1,yes
CWE-435,1,yes
CWE-489,4,yes
CWE-643,1,yes
CWE-759,2,yes
CWE-183,1,yes
CWE-567,1,yes
CWE-507,1,yes
CWE-112,2,yes
CWE-788,50,no
CWE-115,1,yes
CWE-228,2,yes
CWE-760,1,yes
CWE-271,1,yes
CWE-208,1,yes
CWE-98,1,yes
CWE-87,1,yes
CWE-334,1,yes
CWE-259,4,yes
CWE-603,1,yes
CWE-279,1,yes
CWE-497,3,yes
CWE-1076,1,no
CWE-35,2,yes
CWE-789,5,no
CWE-472,7,yes
CWE-36,4,yes
CWE-823,2,no
CWE-202,2,yes
CWE-126,11,yes
CWE-302,1,yes
CWE-170,6,yes
CWE-64,1,yes
CWE-540,1,yes
CWE-379,9,yes
CWE-644,1,yes
CWE-378,4,yes
CWE-527,1,yes
CWE-598,1,yes
CWE-240,2,yes
CWE-620,1,yes
CWE-283,1,yes
CWE-708,1,yes
CWE-539,1,yes
CWE-257,1,yes
CWE-548,4,yes
CWE-353,2,yes
CWE-359,5,yes
CWE-657,2,yes
CWE-1284,2,no
CWE-457,7,yes
CWE-807,2,no
CWE-267,1,yes
CWE-316,1,yes
CWE-710,1,yes
CWE-95,1,yes
CWE-688,1,yes
CWE-1004,1,no
CWE-315,1,yes
CWE-124,1,yes
CWE-799,3,no
CWE-1329,1,no
CWE-1333,2,no
CWE-194,1,yes
CWE-15,1,yes
CWE-75,1,yes
CWE-840,5,no
CWE-304,1,yes
CWE-525,1,yes
CWE-26,1,yes
CWE-242,1,yes
CWE-1336,2,no
CWE-786,1,no
CWE-1022,1,no
CWE-363,1,yes
CWE-391,1,yes
CWE-241,1,yes
CWE-911,1,no
CWE-451,1,yes
CWE-648,1,yes
CWE-671,1,yes
